# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103500
# River:                 RIO MAGDALENA
# Station:               PUERTO BERRIO
# Country:               CO
# Latitude (DD):       6.5
# Longitude (DD):      -74.38
# Catchment area (km²):      74410.0
# Altitude (m ASL):        1570.0
# Next downstream station:      3103300
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936-01 - 2024-08
# No. of years:          89
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 32380
# DATA
YYYY-MM-DD;hh:mm; Value
1937-01-22;--:--;   2490.000
1937-01-23;--:--;   2115.000
1937-01-24;--:--;   2050.000
1937-01-25;--:--;   2014.000
1937-01-26;--:--;   1906.000
1937-01-27;--:--;   1810.000
1937-01-28;--:--;   2454.000
1937-01-29;--:--;   2216.000
1937-01-30;--:--;   2076.000
1937-01-31;--:--;   2790.000
1937-02-01;--:--;   2622.000
1937-02-02;--:--;   2610.000
1937-02-03;--:--;   2842.000
1937-02-04;--:--;   3134.000
1937-02-05;--:--;   2985.000
1937-02-06;--:--;   2894.000
1937-02-07;--:--;   3098.000
1937-02-08;--:--;   2670.000
1937-02-09;--:--;   2730.000
1937-02-10;--:--;   2430.000
1937-02-11;--:--;   2300.000
1937-02-12;--:--;   2454.000
1937-02-13;--:--;   2204.000
1937-02-14;--:--;   2240.000
1937-02-15;--:--;   2180.000
1937-02-16;--:--;   2216.000
1937-02-17;--:--;   1990.000
1937-02-18;--:--;   2204.000
1937-02-19;--:--;   2502.000
1937-02-20;--:--;   2646.000
1937-02-21;--:--;   2228.000
1937-02-22;--:--;   2128.000
1937-02-23;--:--;   2300.000
1937-02-24;--:--;   2115.000
1937-02-25;--:--;   2240.000
1937-02-26;--:--;   2228.000
1937-02-27;--:--;   2574.000
1937-02-28;--:--;   2115.000
1937-03-01;--:--;   2115.000
1937-03-02;--:--;   1990.000
1937-03-03;--:--;   1906.000
1937-03-04;--:--;   1930.000
1937-03-05;--:--;   1810.000
1937-03-06;--:--;   1625.000
1937-03-07;--:--;   1846.000
1937-03-08;--:--;   1560.000
1937-03-09;--:--;   1612.000
1937-03-10;--:--;   1430.000
1937-03-11;--:--;   1930.000
1937-03-12;--:--;   1664.000
1937-03-13;--:--;   1495.000
1937-03-14;--:--;   1990.000
1937-03-15;--:--;   1690.000
1937-03-16;--:--;   1786.000
1937-03-17;--:--;   1612.000
1937-03-18;--:--;   2026.000
1937-03-19;--:--;   1702.000
1937-03-20;--:--;   1834.000
1937-03-21;--:--;   1664.000
1937-03-22;--:--;   1858.000
1937-03-23;--:--;   1870.000
1937-03-24;--:--;   1664.000
1937-03-25;--:--;   1954.000
1937-03-26;--:--;   1690.000
1937-03-27;--:--;   1906.000
1937-03-28;--:--;   1786.000
1937-03-29;--:--;   2300.000
1937-03-30;--:--;   2326.000
1937-03-31;--:--;   2417.000
1937-04-01;--:--;   2300.000
1937-04-02;--:--;   2326.000
1937-04-03;--:--;   2339.000
1937-04-04;--:--;   2300.000
1937-04-05;--:--;   2240.000
1937-04-06;--:--;   1930.000
1937-04-07;--:--;   1690.000
1937-04-08;--:--;   1750.000
1937-04-09;--:--;   1750.000
1937-04-10;--:--;   1560.000
1937-04-11;--:--;   1521.000
1937-04-12;--:--;   1534.000
1937-04-13;--:--;   1870.000
1937-04-14;--:--;   1930.000
1937-04-15;--:--;   1918.000
1937-04-16;--:--;   2002.000
1937-04-17;--:--;   1750.000
1937-04-18;--:--;   1930.000
1937-04-19;--:--;   1798.000
1937-04-20;--:--;   1810.000
1937-04-21;--:--;   1762.000
1937-04-22;--:--;   1664.000
1937-04-23;--:--;   1456.000
1937-04-24;--:--;   1410.000
1937-04-25;--:--;   1310.000
1937-04-26;--:--;   1340.000
1937-04-27;--:--;   2115.000
1937-04-28;--:--;   2102.000
1937-04-29;--:--;   2050.000
1937-04-30;--:--;   1870.000
1937-05-01;--:--;   2391.000
1937-05-02;--:--;   2622.000
1937-05-03;--:--;   2391.000
1937-05-04;--:--;   2454.000
1937-05-05;--:--;   2894.000
1937-05-06;--:--;   2646.000
1937-05-07;--:--;   2502.000
1937-05-08;--:--;   2391.000
1937-05-09;--:--;   2634.000
1937-05-10;--:--;   2391.000
1937-05-11;--:--;   2610.000
1937-05-12;--:--;   3024.000
1937-05-13;--:--;   3196.000
1937-05-14;--:--;   3011.000
1937-05-15;--:--;   3708.000
1937-05-16;--:--;   2790.000
1937-05-17;--:--;   3460.000
1937-05-18;--:--;   3612.000
1937-05-19;--:--;   2538.000
1937-05-20;--:--;   3261.000
1937-05-21;--:--;   3391.000
1937-05-22;--:--;   2920.000
1937-05-23;--:--;   3140.000
1937-05-24;--:--;   3170.000
1937-05-25;--:--;   3134.000
1937-05-26;--:--;   3248.000
1937-05-27;--:--;   4306.000
1937-05-28;--:--;   3990.000
1937-05-29;--:--;   3990.000
1937-05-30;--:--;   4488.000
1937-05-31;--:--;   4080.000
1937-06-01;--:--;   5020.000
1937-06-02;--:--;   5064.000
1937-06-03;--:--;   4526.000
1937-06-04;--:--;   4099.000
1937-06-05;--:--;   3460.000
1937-06-06;--:--;   3098.000
1937-06-07;--:--;   2868.000
1937-06-08;--:--;   2790.000
1937-06-09;--:--;   3134.000
1937-06-10;--:--;   2670.000
1937-06-11;--:--;   2594.000
1937-06-12;--:--;   2454.000
1937-06-13;--:--;   2754.000
1937-06-14;--:--;   3074.000
1937-06-15;--:--;   2790.000
1937-06-16;--:--;   2816.000
1937-06-17;--:--;   2694.000
1937-06-18;--:--;   2454.000
1937-06-19;--:--;   2754.000
1937-06-20;--:--;   2670.000
1937-06-21;--:--;   2550.000
1937-06-22;--:--;   2730.000
1937-06-23;--:--;   2816.000
1937-06-24;--:--;   2972.000
1937-06-25;--:--;   2790.000
1937-06-26;--:--;   2855.000
1937-06-27;--:--;   3050.000
1937-06-28;--:--;   2706.000
1937-06-29;--:--;   2417.000
1937-06-30;--:--;   2658.000
1937-07-01;--:--;   2781.000
1937-07-02;--:--;   2706.000
1937-07-03;--:--;   2574.000
1937-07-04;--:--;   2718.000
1937-07-05;--:--;   2454.000
1937-07-06;--:--;   2378.000
1937-07-07;--:--;   2276.000
1937-07-08;--:--;   2742.000
1937-07-09;--:--;   3170.000
1937-07-10;--:--;   2490.000
1937-07-11;--:--;   2339.000
1937-07-12;--:--;   2192.000
1937-07-13;--:--;   2538.000
1937-07-14;--:--;   2562.000
1937-07-15;--:--;   2502.000
1937-07-16;--:--;   2352.000
1937-07-17;--:--;   2417.000
1937-07-18;--:--;   2634.000
1937-07-19;--:--;   2252.000
1937-07-20;--:--;   2252.000
1937-07-21;--:--;   2204.000
1937-07-22;--:--;   1906.000
1937-07-23;--:--;   2038.000
1937-07-24;--:--;   2014.000
1937-07-25;--:--;   2050.000
1937-07-26;--:--;   1786.000
1937-07-27;--:--;   1750.000
1937-07-28;--:--;   2514.000
1937-07-29;--:--;   2881.000
1937-07-30;--:--;   2365.000
1937-07-31;--:--;   1954.000
1937-08-01;--:--;   1858.000
1937-08-02;--:--;   1834.000
1937-08-03;--:--;   1726.000
1937-08-04;--:--;   1456.000
1937-08-05;--:--;   1942.000
1937-08-06;--:--;   1894.000
1937-08-07;--:--;   1978.000
1937-08-08;--:--;   1586.000
1937-08-09;--:--;   1612.000
1937-08-10;--:--;   1586.000
1937-08-11;--:--;   1714.000
1937-08-12;--:--;   1534.000
1937-08-13;--:--;   1495.000
1937-08-14;--:--;   1456.000
1937-08-15;--:--;   1573.000
1937-08-16;--:--;   1822.000
1937-08-17;--:--;   1750.000
1937-08-18;--:--;   1586.000
1937-08-19;--:--;   1714.000
1937-08-20;--:--;   2404.000
1937-08-21;--:--;   1954.000
1937-08-22;--:--;   1942.000
1937-08-23;--:--;   2192.000
1937-08-24;--:--;   2089.000
1937-08-25;--:--;   1894.000
1937-08-26;--:--;   1834.000
1937-08-27;--:--;   1702.000
1937-08-28;--:--;   2352.000
1937-08-29;--:--;   2454.000
1937-08-30;--:--;   2352.000
1937-08-31;--:--;   2102.000
1937-09-01;--:--;   1738.000
1937-09-02;--:--;   1870.000
1937-09-03;--:--;   1894.000
1937-09-04;--:--;   1702.000
1937-09-05;--:--;   1638.000
1937-09-06;--:--;   2141.000
1937-09-07;--:--;   2586.000
1937-09-08;--:--;   2682.000
1937-09-09;--:--;   2790.000
1937-09-10;--:--;   2586.000
1937-09-11;--:--;   2706.000
1937-09-12;--:--;   2574.000
1937-09-13;--:--;   2754.000
1937-09-14;--:--;   3550.000
1937-09-15;--:--;   3535.000
1937-09-16;--:--;   2326.000
1937-09-17;--:--;   2339.000
1937-09-18;--:--;   2240.000
1937-09-19;--:--;   2204.000
1937-09-20;--:--;   2454.000
1937-09-21;--:--;   2089.000
1937-09-22;--:--;   2514.000
1937-09-23;--:--;   2766.000
1937-09-24;--:--;   2998.000
1937-09-25;--:--;   3024.000
1937-09-26;--:--;   2730.000
1937-09-27;--:--;   2754.000
1937-09-28;--:--;   2842.000
1937-09-29;--:--;   3074.000
1937-09-30;--:--;   3261.000
1937-10-01;--:--;   3378.000
1937-10-02;--:--;   3024.000
1937-10-03;--:--;   2946.000
1937-10-04;--:--;   3196.000
1937-10-05;--:--;   2803.000
1937-10-06;--:--;   3313.000
1937-10-07;--:--;   2574.000
1937-10-08;--:--;   2946.000
1937-10-09;--:--;   2907.000
1937-10-10;--:--;   2933.000
1937-10-11;--:--;   3074.000
1937-10-12;--:--;   2933.000
1937-10-13;--:--;   2959.000
1937-10-14;--:--;   3050.000
1937-10-15;--:--;   3209.000
1937-10-16;--:--;   2816.000
1937-10-17;--:--;   2574.000
1937-10-18;--:--;   2933.000
1937-10-19;--:--;   2514.000
1937-10-20;--:--;   2933.000
1937-10-21;--:--;   2490.000
1937-10-22;--:--;   2365.000
1937-10-23;--:--;   2454.000
1937-10-24;--:--;   2694.000
1937-10-25;--:--;   2490.000
1937-10-26;--:--;   2946.000
1937-10-27;--:--;   3222.000
1937-10-28;--:--;   4044.000
1937-10-29;--:--;   3326.000
1937-10-30;--:--;   3300.000
1937-10-31;--:--;   2881.000
1937-11-01;--:--;   3196.000
1937-11-02;--:--;   3565.000
1937-11-03;--:--;   3062.000
1937-11-04;--:--;   3196.000
1937-11-05;--:--;   3724.000
1937-11-06;--:--;   4270.000
1937-11-07;--:--;   4716.000
1937-11-08;--:--;   4469.000
1937-11-09;--:--;   4378.000
1937-11-10;--:--;   4583.000
1937-11-11;--:--;   4288.000
1937-11-12;--:--;   4678.000
1937-11-13;--:--;   3990.000
1937-11-14;--:--;   4564.000
1937-11-15;--:--;   4763.000
1937-11-16;--:--;   4194.000
1937-11-17;--:--;   4080.000
1937-11-18;--:--;   5001.000
1937-11-19;--:--;   4602.000
1937-11-20;--:--;   4640.000
1937-11-21;--:--;   4488.000
1937-11-22;--:--;   3535.000
1937-11-23;--:--;   3596.000
1937-11-24;--:--;   3024.000
1937-11-25;--:--;   3170.000
1937-11-26;--:--;   3074.000
1937-11-27;--:--;   2933.000
1937-11-28;--:--;   2946.000
1937-11-29;--:--;   2933.000
1937-11-30;--:--;   2959.000
1937-12-01;--:--;   3024.000
1937-12-02;--:--;   2706.000
1937-12-03;--:--;   2622.000
1937-12-04;--:--;   2562.000
1937-12-05;--:--;   2790.000
1937-12-06;--:--;   2894.000
1937-12-07;--:--;   3011.000
1937-12-08;--:--;   3505.000
1937-12-09;--:--;   3708.000
1937-12-10;--:--;   3404.000
1937-12-11;--:--;   3724.000
1937-12-12;--:--;   3505.000
1937-12-13;--:--;   3146.000
1937-12-14;--:--;   3134.000
1937-12-15;--:--;   4062.000
1937-12-16;--:--;   3990.000
1937-12-17;--:--;   3313.000
1937-12-18;--:--;   3122.000
